  i    sc_C0    sc_C1   sc_LEG  sel    d_C0    d_C1   d_LEG  best
  0    50.84    53.35    52.75   C0   36.46   35.65   27.48   LEG
  5    54.62    57.10    57.04   C0   23.56   22.94   31.43    C1
 10    54.52    56.82    56.53   C0    9.77   11.84    0.43   LEG
 15    46.55    49.42    47.48   C0   10.92   10.09   11.58    C1
 20    36.22    39.90    35.83   C0    9.69   10.46   11.37    C0
 22    31.53    35.29    30.47  LEG  115.17  113.12  117.05    C1
 23    31.93    35.67    30.29  LEG   87.55   75.26  114.78    C1
 24    32.10    35.36    30.55  LEG    7.63    8.70    0.94   LEG
 25    31.11    34.22    29.60  LEG    7.00   15.44    0.49   LEG
 26    28.13    31.92    26.21  LEG  122.27  110.74  128.44    C1
 27    29.18    32.71    28.43  LEG   77.91   72.94   95.92    C1
 30    32.52    35.13    33.66   C0   15.92   16.81    2.13   LEG
 35    33.53    35.31    34.35   C0    6.42    9.96    0.63   LEG
 40    37.19    38.33    37.97   C0   63.41   74.62   47.17   LEG
 45    41.72    43.40    41.35   C0  106.74   99.44  110.96    C1
 50    47.88    49.35    46.64  LEG   29.08   41.40    2.94   LEG
 51    47.62    49.31    45.83  LEG   17.97   24.67    2.15   LEG
 52    47.69    49.47    45.64  LEG    8.82   10.34    5.83   LEG
 53    47.78    49.57    45.73  LEG   74.20   65.47   80.38    C1
 54    47.25    48.89    45.27  LEG   48.33   48.98   56.71    C0
 55    46.46    48.09    44.80  LEG   28.73   27.31   31.65    C1
 56    44.37    46.01    42.46  LEG   32.34   33.36   33.49    C0
 57    44.30    45.97    42.56  LEG   11.09   18.13    9.29   LEG
 58    44.31    46.10    42.34  LEG    3.69    8.79    0.76   LEG
 59    43.58    45.47    41.49  LEG    3.60    7.19    0.61   LEG
 60    41.90    43.87    39.60  LEG    3.37   11.51    0.47   LEG
 61    40.71    42.87    38.04  LEG    1.68    6.26    0.32   LEG
 62    40.31    42.57    37.48  LEG    0.98    4.63    0.31   LEG
 63    39.80    42.15    36.88  LEG    0.49    3.72    0.30   LEG
 64    39.28    41.72    36.47  LEG    0.36    4.79    0.16   LEG
 65    38.99    41.52    36.46  LEG    0.20    3.11    0.00   LEG
 66    38.74    41.31    36.45  LEG    0.25    2.25    0.02   LEG
 67    38.57    41.14    36.44  LEG    2.85    6.01    2.65   LEG
 68    38.50    41.00    36.48  LEG    3.33    5.39    3.09   LEG
 69    38.48    40.84    36.52  LEG    0.46    1.61    0.14   LEG
 70    38.47    40.81    36.52  LEG    0.30    2.10    0.03   LEG
 71    38.34    40.73    36.38  LEG    0.26    2.21    0.02   LEG
------------------------------------------------------------------
selected: {'C0': 44, 'C1': 0, 'LEG': 28}   daily-winner: {'C0': 11, 'C1': 18, 'LEG': 43}
test-period mean MAE: C0=35.42  C1=37.47  LEG=33.74
LEG replay score vs C0: mean -0.71%  median -0.23%  min -7.34%  frac<-2% 0.39  frac<0 0.51
