hour,load_workday_mw,load_workday_norm,load_holiday_norm,cif_inferred_flat_import,model_annual_shape
0,19130.0,0.8196,0.888,0.96,0.9095
1,18213.0,0.7803,0.8749,0.9456,0.9128
2,17633.0,0.7554,0.8445,0.9358,0.9104
3,17053.0,0.7306,0.8163,0.9252,0.9095
4,16763.0,0.7182,0.8055,0.9197,0.9117
5,16956.0,0.7265,0.8207,0.9234,0.925
6,17343.0,0.743,0.8673,0.9289,0.9675
7,18454.0,0.7906,0.8945,0.9461,1.0313
8,21401.0,0.9169,0.9249,0.9858,1.0782
9,25217.0,1.0804,0.9846,1.024,1.0975
10,27005.0,1.1569,1.0768,1.0379,1.101
11,27730.0,1.188,1.0986,1.0429,1.1016
12,28164.0,1.2066,1.1018,1.0459,1.1013
13,28358.0,1.2149,1.092,1.0474,1.1003
14,28358.0,1.2149,1.0964,1.0479,1.0989
15,28502.0,1.2211,1.0736,1.0497,1.0958
16,28454.0,1.219,1.0573,1.0504,1.0752
17,27609.0,1.1828,1.0855,1.0457,1.0313
18,26328.0,1.128,1.1203,1.0373,0.9785
19,26087.0,1.1176,1.1442,1.0362,0.9534
20,25386.0,1.0876,1.1311,1.0304,0.9442
21,24469.0,1.0483,1.1083,1.0223,0.936
22,23358.0,1.0007,1.0682,1.0117,0.9234
23,22222.0,0.9521,1.0247,0.9998,0.9059
