month,fd_wind_share,real_wind_share,fd_solar_share,real_solar_share
1,0.1072796955704689,0.16935014891772684,0.02171136625111103,0.06093395774403485
2,0.12121212482452393,0.14354263602290193,0.027548208832740784,0.05450548293425947
3,0.1201738715171814,0.20914341540063852,0.03451802581548691,0.08174459347800958
4,0.12634903192520142,0.17760316098216014,0.043432481586933136,0.09800212071773673
5,0.11966276913881302,0.16071600165611769,0.05031275376677513,0.11331257339867078
6,0.10910134762525558,0.13990462919426896,0.05598621815443039,0.09807114603911148
7,0.09187082201242447,0.08124685188248794,0.05011135712265968,0.08668633202470961
8,0.09348441660404205,0.1171628143636413,0.048158641904592514,0.09730061254168533
9,0.10699588805437088,0.16968641848991387,0.039780519902706146,0.08000265708135863
10,0.11811023950576782,0.16319593564969298,0.031496062874794006,0.08631609900447633
11,0.11694451421499252,0.16564421709350094,0.023637721315026283,0.06745536579374613
12,0.10651174187660217,0.19360185914843342,0.019365770742297173,0.0693251080534236
