month,shape_mae_permille,shape_mae_pct,real_peak_h,real_trough_h,real_amp_pct,model_peak_h,model_trough_h,model_amp_pct
1,48.27031966679171,4.82703196667917,17,12,27.115637933761015,21,15,16.69532168731589
2,27.527109868013582,2.7527109868013584,18,12,18.658423664305946,21,15,13.498774812129943
3,81.00561407150579,8.100561407150579,19,11,34.06862263796746,7,14,13.814305742787669
4,101.89102829398007,10.189102829398006,19,12,41.63123786118125,6,16,14.117475171000516
5,101.41461159438349,10.141461159438348,19,12,41.759635345397584,22,16,17.18138690968526
6,84.09336907263042,8.409336907263041,20,12,33.7328712706279,5,17,10.882017274311407
7,74.03048819513393,7.403048819513393,5,13,27.663475536567496,21,14,7.7970375530563185
8,97.08223909097286,9.708223909097287,19,12,34.39666189703712,20,14,8.019518790744339
9,64.88241298737456,6.488241298737457,18,12,28.76789315906727,20,12,9.034798304525927
10,86.4910942406939,8.64910942406939,18,11,37.724869171320194,19,14,12.519149709470723
11,54.644034270886735,5.464403427088674,17,12,29.92810092400582,18,14,12.502317327931568
12,49.64217883776916,4.964217883776916,17,12,31.638282371310932,22,15,17.560099252583083
