time_local,cif_forecast_g_kwh
00:00,410.9
00:05,410.9
00:10,410.9
00:15,410.8
00:20,410.8
00:25,410.7
00:30,410.6
00:35,410.5
00:40,410.4
00:45,410.2
00:50,410.1
00:55,409.9
01:00,409.8
01:05,409.5
01:10,408.9
01:15,408.2
01:20,407.3
01:25,406.3
01:30,405.3
01:35,404.3
01:40,403.4
01:45,402.6
01:50,402.0
01:55,401.5
02:00,401.4
02:05,401.5
02:10,401.9
02:15,402.5
02:20,403.2
02:25,404.1
02:30,405.0
02:35,406.1
02:40,407.1
02:45,408.1
02:50,409.1
02:55,409.9
03:00,410.7
03:05,411.3
03:10,411.9
03:15,412.4
03:20,412.9
03:25,413.4
03:30,413.9
03:35,414.4
03:40,414.9
03:45,415.5
03:50,416.1
03:55,416.7
04:00,417.5
04:05,418.3
04:10,419.1
04:15,420.0
04:20,421.0
04:25,422.0
04:30,423.2
04:35,424.4
04:40,425.8
04:45,427.4
04:50,429.1
04:55,431.0
05:00,433.1
05:05,436.6
05:10,442.5
05:15,450.2
05:20,459.3
05:25,469.2
05:30,479.5
05:35,489.7
05:40,499.2
05:45,507.5
05:50,514.3
05:55,518.9
06:00,520.9
06:05,521.4
06:10,521.8
06:15,522.2
06:20,522.6
06:25,522.9
06:30,523.2
06:35,523.5
06:40,523.7
06:45,523.9
06:50,524.0
06:55,524.0
07:00,524.1
07:05,523.9
07:10,523.4
07:15,522.7
07:20,521.8
07:25,520.8
07:30,519.8
07:35,518.7
07:40,517.7
07:45,516.8
07:50,516.1
07:55,515.6
08:00,515.5
08:05,515.7
08:10,516.1
08:15,516.9
08:20,517.8
08:25,518.9
08:30,520.0
08:35,521.1
08:40,522.2
08:45,523.1
08:50,523.9
08:55,524.3
09:00,524.5
09:05,524.5
09:10,524.4
09:15,524.4
09:20,524.3
09:25,524.2
09:30,524.0
09:35,523.9
09:40,523.8
09:45,523.7
09:50,523.6
09:55,523.5
10:00,523.4
10:05,523.4
10:10,523.4
10:15,523.3
10:20,523.3
10:25,523.3
10:30,523.2
10:35,523.2
10:40,523.2
10:45,523.2
10:50,523.2
10:55,523.2
11:00,523.2
11:05,523.2
11:10,523.3
11:15,523.3
11:20,523.4
11:25,523.6
11:30,523.7
11:35,523.8
11:40,523.9
11:45,524.0
11:50,524.1
11:55,524.2
12:00,524.2
12:05,524.2
12:10,524.2
12:15,524.1
12:20,524.1
12:25,524.0
12:30,523.9
12:35,523.8
12:40,523.8
12:45,523.7
12:50,523.6
12:55,523.6
13:00,523.6
13:05,523.6
13:10,523.7
13:15,523.9
13:20,524.0
13:25,524.2
13:30,524.4
13:35,524.6
13:40,524.8
13:45,525.0
13:50,525.2
13:55,525.3
14:00,525.4
14:05,525.4
14:10,525.4
14:15,525.4
14:20,525.5
14:25,525.5
14:30,525.5
14:35,525.5
14:40,525.5
14:45,525.5
14:50,525.6
14:55,525.6
15:00,525.6
15:05,525.7
15:10,525.8
15:15,526.0
15:20,526.2
15:25,526.5
15:30,526.8
15:35,527.0
15:40,527.3
15:45,527.6
15:50,527.9
15:55,528.2
16:00,528.5
16:05,528.7
16:10,529.0
16:15,529.3
16:20,529.7
16:25,530.0
16:30,530.3
16:35,530.6
16:40,530.9
16:45,531.1
16:50,531.3
16:55,531.4
17:00,531.4
17:05,531.4
17:10,531.4
17:15,531.3
17:20,531.2
17:25,531.1
17:30,530.9
17:35,530.7
17:40,530.5
17:45,530.3
17:50,530.0
17:55,529.7
18:00,529.4
18:05,527.8
18:10,523.9
18:15,518.2
18:20,511.1
18:25,503.0
18:30,494.4
18:35,485.7
18:40,477.4
18:45,469.9
18:50,463.6
18:55,459.0
19:00,456.5
19:05,455.4
19:10,454.4
19:15,453.6
19:20,452.9
19:25,452.4
19:30,451.8
19:35,451.3
19:40,450.8
19:45,450.3
19:50,449.6
19:55,448.9
20:00,448.0
20:05,446.8
20:10,445.3
20:15,443.5
20:20,441.6
20:25,439.5
20:30,437.4
20:35,435.4
20:40,433.4
20:45,431.6
20:50,430.0
20:55,428.8
21:00,427.9
21:05,427.2
21:10,426.6
21:15,426.1
21:20,425.6
21:25,425.2
21:30,424.8
21:35,424.4
21:40,424.0
21:45,423.7
21:50,423.3
21:55,423.0
22:00,422.6
22:05,422.2
22:10,421.9
22:15,421.6
22:20,421.2
22:25,420.9
22:30,420.6
22:35,420.3
22:40,420.0
22:45,419.6
22:50,419.3
22:55,418.9
23:00,418.4
23:05,418.0
23:10,417.5
23:15,416.9
23:20,416.4
23:25,415.8
23:30,415.2
23:35,414.5
23:40,413.8
23:45,413.1
23:50,412.4
23:55,411.7
