time_local,cif_forecast_g_kwh
00:00,758.5
00:05,754.6
00:10,750.9
00:15,747.4
00:20,744.3
00:25,741.4
00:30,738.9
00:35,736.7
00:40,734.8
00:45,733.3
00:50,732.2
00:55,731.6
01:00,731.3
01:05,731.6
01:10,732.5
01:15,733.7
01:20,735.3
01:25,737.1
01:30,739.0
01:35,740.9
01:40,742.7
01:45,744.2
01:50,745.5
01:55,746.3
02:00,746.6
02:05,746.1
02:10,744.8
02:15,742.7
02:20,740.1
02:25,737.1
02:30,734.0
02:35,730.9
02:40,727.9
02:45,725.3
02:50,723.2
02:55,721.9
03:00,721.4
03:05,721.7
03:10,722.4
03:15,723.6
03:20,725.1
03:25,726.8
03:30,728.6
03:35,730.4
03:40,732.1
03:45,733.6
03:50,734.8
03:55,735.5
04:00,735.8
04:05,735.4
04:10,734.1
04:15,732.2
04:20,729.7
04:25,727.0
04:30,724.1
04:35,721.2
04:40,718.5
04:45,716.1
04:50,714.1
04:55,712.9
05:00,712.4
05:05,713.0
05:10,714.8
05:15,717.5
05:20,720.9
05:25,724.9
05:30,729.1
05:35,733.5
05:40,737.8
05:45,741.9
05:50,745.4
05:55,748.2
06:00,750.2
06:05,751.6
06:10,753.0
06:15,754.3
06:20,755.5
06:25,756.6
06:30,757.7
06:35,758.6
06:40,759.4
06:45,760.1
06:50,760.7
06:55,761.1
07:00,761.3
07:05,761.5
07:10,761.6
07:15,761.8
07:20,761.9
07:25,762.0
07:30,762.1
07:35,762.2
07:40,762.3
07:45,762.3
07:50,762.4
07:55,762.4
08:00,762.4
08:05,761.9
08:10,760.4
08:15,758.2
08:20,755.2
08:25,751.7
08:30,747.8
08:35,743.7
08:40,739.4
08:45,735.1
08:50,730.9
08:55,726.9
09:00,723.4
09:05,720.0
09:10,716.3
09:15,712.5
09:20,708.7
09:25,704.8
09:30,700.9
09:35,697.3
09:40,693.8
09:45,690.6
09:50,687.8
09:55,685.4
10:00,683.6
10:05,682.0
10:10,680.6
10:15,679.3
10:20,678.0
10:25,676.9
10:30,675.8
10:35,674.8
10:40,674.0
10:45,673.1
10:50,672.4
10:55,671.7
11:00,671.1
11:05,670.5
11:10,670.0
11:15,669.6
11:20,669.2
11:25,668.8
11:30,668.5
11:35,668.1
11:40,667.8
11:45,667.4
11:50,667.0
11:55,666.6
12:00,666.1
12:05,665.7
12:10,665.2
12:15,664.8
12:20,664.4
12:25,664.0
12:30,663.5
12:35,663.0
12:40,662.4
12:45,661.7
12:50,660.9
12:55,660.0
13:00,659.0
13:05,657.0
13:10,653.2
13:15,648.1
13:20,641.6
13:25,634.2
13:30,626.0
13:35,617.4
13:40,608.4
13:45,599.3
13:50,590.5
13:55,582.1
14:00,574.3
14:05,566.3
14:10,557.3
14:15,547.5
14:20,537.3
14:25,527.1
14:30,517.1
14:35,507.8
14:40,499.4
14:45,492.3
14:50,486.8
14:55,483.3
15:00,482.0
15:05,483.7
15:10,488.4
15:15,495.7
15:20,505.1
15:25,516.3
15:30,528.7
15:35,542.0
15:40,555.7
15:45,569.5
15:50,582.7
15:55,595.1
16:00,606.2
16:05,616.8
16:10,628.0
16:15,639.5
16:20,651.3
16:25,662.9
16:30,674.4
16:35,685.6
16:40,696.1
16:45,705.9
16:50,714.7
16:55,722.4
17:00,728.8
17:05,734.5
17:10,740.2
17:15,745.8
17:20,751.1
17:25,756.2
17:30,760.9
17:35,765.1
17:40,768.8
17:45,771.8
17:50,774.0
17:55,775.5
18:00,776.0
18:05,774.4
18:10,770.1
18:15,763.7
18:20,755.5
18:25,746.3
18:30,736.6
18:35,726.8
18:40,717.6
18:45,709.5
18:50,703.0
18:55,698.8
19:00,697.2
19:05,698.2
19:10,700.9
19:15,705.0
19:20,710.1
19:25,715.9
19:30,722.1
19:35,728.2
19:40,734.0
19:45,739.1
19:50,743.2
19:55,745.9
20:00,746.9
20:05,746.8
20:10,746.7
20:15,746.5
20:20,746.2
20:25,745.8
20:30,745.5
20:35,745.1
20:40,744.8
20:45,744.5
20:50,744.2
20:55,744.0
21:00,743.8
21:05,743.8
21:10,743.7
21:15,743.6
21:20,743.5
21:25,743.5
21:30,743.4
21:35,743.4
21:40,743.3
21:45,743.3
21:50,743.3
21:55,743.2
22:00,743.2
22:05,743.6
22:10,744.7
22:15,746.4
22:20,748.4
22:25,750.8
22:30,753.3
22:35,755.8
22:40,758.1
22:45,760.2
22:50,761.8
22:55,762.9
23:00,763.3
23:05,763.3
23:10,763.3
23:15,763.2
23:20,763.1
23:25,762.9
23:30,762.7
23:35,762.3
23:40,761.9
23:45,761.3
23:50,760.5
23:55,759.6
